L,J,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.51188643150958e-05,0.0,2.51188643150958e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.943282347242815e-05,0.0,7.943282347242815e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,3.548133892335754e-05,0.0,0.0,21701.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.54813389233575e-06,0.0,0.0,3.54813389233575e-06,4856.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.98107170553497e-06,0.0,0.0,3.98107170553497e-06,5243.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.30957344480193e-06,0.0,0.0,6.30957344480193e-06,6074.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1e-05,0.0,0.0,1e-05,6426.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.412537544622754e-05,0.0,0.0,1.412537544622754e-05,12691.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.51188643150958e-05,0.0,0.0,2.51188643150958e-05,2598736.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,0.0,0.0,3.548133892335754e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.943282347242815e-05,0.0,0.0,7.943282347242815e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,0.0001,0.0,0.0,0.0001,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.54813389233575e-06,0.0,3.54813389233575e-06,0.0,3710.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.98107170553497e-06,0.0,3.98107170553497e-06,0.0,4134.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.62341325190349e-06,0.0,5.62341325190349e-06,0.0,5767.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.30957344480193e-06,0.0,6.30957344480193e-06,0.0,10822.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,8.91250938133745e-06,0.0,8.91250938133745e-06,0.0,14274.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.122018454301963e-05,0.0,1.122018454301963e-05,0.0,15210.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.258925411794167e-05,0.0,1.258925411794167e-05,0.0,278624.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.778279410038922e-05,0.0,1.778279410038922e-05,0.0,820566.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.995262314968879e-05,0.0,1.995262314968879e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.818382931264453e-05,0.0,2.818382931264453e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,0.0,3.548133892335754e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.62341325190349e-05,0.0,5.62341325190349e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.943282347242815e-05,0.0,7.943282347242815e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.01187233627272e-06,5.01187233627272e-06,0.0,0.0,9925.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.981071705534972e-05,3.981071705534972e-05,0.0,0.0,53444.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.54813389233575e-06,0.0,0.0,3.54813389233575e-06,4820.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.98107170553497e-06,0.0,0.0,3.98107170553497e-06,5170.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.30957344480193e-06,0.0,0.0,6.30957344480193e-06,6136.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.94328234724281e-06,0.0,0.0,7.94328234724281e-06,5835.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1e-05,0.0,0.0,1e-05,8331.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.412537544622754e-05,0.0,0.0,1.412537544622754e-05,12677.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.778279410038922e-05,0.0,0.0,1.778279410038922e-05,144309.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.51188643150958e-05,0.0,0.0,2.51188643150958e-05,4666790.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,0.0,0.0,3.548133892335754e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.309573444801932e-05,0.0,0.0,6.309573444801932e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,0.0001,0.0,0.0,0.0001,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,4.46683592150963e-06,0.0,4.46683592150963e-06,0.0,5054.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.07945784384137e-06,0.0,7.07945784384137e-06,0.0,9308.0
